       • examples/snapshot/Clock.js
       • examples/react-testing-library/CheckboxWithLabel.js
       • examples/react-native/index.js
       • examples/react-native/Intro.js
       • examples/react/CheckboxWithLabel.js

   ExpressionStatement:
     📄 Files WITH ExpressionStatement (showing 10):
       • yarn.config.cjs
       • babel.config.js
       • website/i18n.js
       • website/fetchSupporters.js
       • website/docusaurus.config.js
       • website/babel.config.js
       • scripts/watch.mjs
       • scripts/verifyPnP.mjs
       • scripts/verifyOldTs.mjs
       • scripts/remove-examples.mjs
     📄 Files WITHOUT ExpressionStatement (showing 10):
       • jest.config.ts.mjs
       • jest.config.mjs
       • jest.config.ci.mjs
       • eslint.config.mjs
       • examples/typescript/utils.ts
       • examples/typescript/sum.ts
       • examples/typescript/sub.ts
       • examples/snapshot/Link.js
       • examples/snapshot/Clock.js
       • examples/react-testing-library/CheckboxWithLabel.js

   Property:
     📄 Files WITH Property (showing 10):
       • yarn.config.cjs
       • jest.config.ts.mjs
       • jest.config.mjs
       • jest.config.ci.mjs
       • eslint.config.mjs
       • babel.config.js
       • website/i18n.js
       • website/fetchSupporters.js
       • website/docusaurus.config.js
       • website/babel.config.js
     📄 Files WITHOUT Property (showing 10):
       • scripts/watch.mjs
       • scripts/checkChangelog.mjs
       • examples/typescript/utils.ts
       • examples/typescript/sum.ts
       • examples/typescript/sum.js
       • examples/typescript/sub.ts
       • examples/typescript/calc.ts
       • examples/typescript/Memory.ts
       • examples/snapshot/Link.js
       • examples/snapshot/Clock.js

   BlockStatement:
     📄 Files WITH BlockStatement (showing 10):
       • yarn.config.cjs
       • eslint.config.mjs
       • website/fetchSupporters.js
       • website/docusaurus.config.js
       • scripts/watch.mjs
       • scripts/verifyPnP.mjs
       • scripts/verifyOldTs.mjs
       • scripts/mapCoverage.mjs
       • scripts/lintTs.mjs
       • scripts/cleanE2e.mjs
     📄 Files WITHOUT BlockStatement (showing 10):
       • jest.config.ts.mjs
       • jest.config.mjs
       • jest.config.ci.mjs
       • babel.config.js
       • website/i18n.js
       • website/babel.config.js
       • scripts/remove-examples.mjs
       • examples/typescript/sum.ts
       • examples/typescript/sub.ts
       • examples/snapshot/Link.js

   VariableDeclarator:
     📄 Files WITH VariableDeclarator (showing 10):
       • yarn.config.cjs
       • jest.config.mjs
       • eslint.config.mjs
       • babel.config.js
       • website/i18n.js
       • website/fetchSupporters.js
       • website/docusaurus.config.js
       • scripts/watch.mjs
       • scripts/verifyPnP.mjs
       • scripts/verifyOldTs.mjs
     📄 Files WITHOUT VariableDeclarator (showing 10):
       • jest.config.ts.mjs
       • jest.config.ci.mjs
       • website/babel.config.js
       • examples/typescript/utils.ts
       • examples/typescript/sum.js
       • examples/typescript/Memory.ts
       • examples/snapshot/Link.js
       • examples/snapshot/Clock.js
       • examples/timer/timerGame.js
       • examples/timer/infiniteTimerGame.js

   VariableDeclaration:
     📄 Files WITH VariableDeclaration (showing 10):
       • yarn.config.cjs
       • jest.config.mjs
       • eslint.config.mjs
       • babel.config.js
       • website/i18n.js
       • website/fetchSupporters.js
       • website/docusaurus.config.js
       • scripts/watch.mjs
       • scripts/verifyPnP.mjs
       • scripts/verifyOldTs.mjs
     📄 Files WITHOUT VariableDeclaration (showing 10):
       • jest.config.ts.mjs
       • jest.config.ci.mjs
       • website/babel.config.js
       • examples/typescript/utils.ts
       • examples/typescript/sum.js
       • examples/typescript/Memory.ts
       • examples/snapshot/Link.js
       • examples/snapshot/Clock.js
       • examples/timer/timerGame.js
       • examples/timer/infiniteTimerGame.js

   TSTypeAnnotation:
     📄 Files WITH TSTypeAnnotation (showing 10):
       • e2e/runJest.ts
       • e2e/Utils.ts
       • examples/typescript/sum.ts
       • examples/typescript/sub.ts
       • examples/typescript/calc.ts
       • examples/typescript/Memory.ts
       • examples/typescript/CheckboxWithLabel.tsx
       • examples/expect-extend/toBeWithinRange.ts
       • examples/angular/app.component.ts
       • examples/angular/app.component.spec.ts
     📄 Files WITHOUT TSTypeAnnotation (showing 10):
       • yarn.config.cjs
