AST Analysis Report for tailwindcss
Generated on: 2025-07-14T02:08:15.160Z
Repository: sample-repos/tailwindcss
================================================================================

🔍 Analyzing JavaScript/TypeScript files in: /Users/camchenry/workspace/ast-analysis/sample-repos/tailwindcss

📁 Found 309 files to analyze...



============================================================
📊 AST ANALYSIS RESULTS
============================================================

📁 FILE STATISTICS:
   Total files found: 309
   Successfully parsed: 309
   Failed to parse: 0
   Total file size: 2.9 MB

🌳 NODE STATISTICS:
   Total nodes: 225,981
   Average nodes per file: 731
   Average file size: 9.6 KB

📋 ALL NODE TYPES (BY FILE PRESENCE):
       • packages/tailwindcss/vitest.config.ts
       • packages/tailwindcss/tsup.config.ts
       • packages/tailwindcss/playwright.config.ts
     📄 Files WITHOUT MemberExpression (showing 10):
       • vitest.workspace.ts
       • integrations/vitest.config.ts
       • packages/@tailwindcss-vite/tsup.config.ts
       • packages/@tailwindcss-postcss/tsup.config.ts
       • packages/@tailwindcss-upgrade/tsup.config.ts
       • packages/@tailwindcss-node/tsup.config.ts
       • packages/@tailwindcss-cli/tsup.config.ts
       • packages/@tailwindcss-browser/vitest.config.ts
       • packages/@tailwindcss-browser/tsup.config.ts
       • playgrounds/nextjs/next.config.mjs

   Property:
     📄 Files WITH Property (showing 10):
       • scripts/version-packages.mjs
       • scripts/pre-publish-optimizations.mjs
       • scripts/pack-packages.mjs
       • scripts/lock-pre-release-versions.mjs
       • integrations/vitest.config.ts
       • integrations/utils.ts
       • packages/@tailwindcss-vite/tsup.config.ts
       • packages/tailwindcss/vitest.config.ts
       • packages/tailwindcss/tsup.config.ts
       • packages/tailwindcss/playwright.config.ts
     📄 Files WITHOUT Property (showing 10):
       • vitest.workspace.ts
       • scripts/release-notes.mjs
       • scripts/release-channel.js
       • playgrounds/nextjs/next.config.mjs
       • playgrounds/v3/next.config.mjs
       • packages/tailwindcss/src/sort.test.ts
       • packages/tailwindcss/src/sort.bench.ts
       • packages/tailwindcss/src/property-order.ts
       • packages/tailwindcss/src/node.d.ts
       • packages/tailwindcss/src/ast.bench.ts

   ExpressionStatement:
     📄 Files WITH ExpressionStatement (showing 10):
       • scripts/version-packages.mjs
       • scripts/release-notes.mjs
       • scripts/release-channel.js
       • scripts/pre-publish-optimizations.mjs
       • scripts/pack-packages.mjs
       • scripts/lock-pre-release-versions.mjs
       • integrations/utils.ts
       • packages/internal-example-plugin/index.js
       • integrations/webpack/index.test.ts
       • integrations/upgrade/js-config.test.ts
     📄 Files WITHOUT ExpressionStatement (showing 10):
       • vitest.workspace.ts
       • integrations/vitest.config.ts
       • packages/@tailwindcss-vite/tsup.config.ts
       • packages/tailwindcss/vitest.config.ts
       • packages/tailwindcss/tsup.config.ts
       • packages/tailwindcss/playwright.config.ts
       • packages/@tailwindcss-postcss/tsup.config.ts
       • packages/@tailwindcss-upgrade/tsup.config.ts
       • packages/@tailwindcss-node/tsup.config.ts
       • packages/@tailwindcss-cli/tsup.config.ts

   Unknown:
     📄 Files WITH Unknown (showing 10):
       • scripts/version-packages.mjs
       • scripts/release-notes.mjs
       • scripts/release-channel.js
       • scripts/pack-packages.mjs
       • scripts/lock-pre-release-versions.mjs
       • integrations/utils.ts
       • packages/@tailwindcss-browser/tsup.config.ts
       • integrations/webpack/index.test.ts
       • integrations/upgrade/js-config.test.ts
       • integrations/upgrade/index.test.ts
     📄 Files WITHOUT Unknown (showing 10):
       • vitest.workspace.ts
       • scripts/pre-publish-optimizations.mjs
       • integrations/vitest.config.ts
       • packages/@tailwindcss-vite/tsup.config.ts
       • packages/tailwindcss/vitest.config.ts
       • packages/tailwindcss/tsup.config.ts
       • packages/tailwindcss/playwright.config.ts
       • packages/internal-example-plugin/index.js
       • packages/@tailwindcss-postcss/tsup.config.ts
       • packages/@tailwindcss-upgrade/tsup.config.ts

   BlockStatement:
     📄 Files WITH BlockStatement (showing 10):
       • scripts/version-packages.mjs
       • scripts/release-notes.mjs
       • scripts/release-channel.js
       • scripts/pre-publish-optimizations.mjs
       • scripts/pack-packages.mjs
       • scripts/lock-pre-release-versions.mjs
       • integrations/utils.ts
       • packages/internal-example-plugin/index.js
       • integrations/webpack/index.test.ts
       • integrations/upgrade/js-config.test.ts
     📄 Files WITHOUT BlockStatement (showing 10):
