AST Analysis Report for ember.js
Generated on: 2025-07-14T02:07:19.851Z
Repository: sample-repos/ember.js
================================================================================

🔍 Analyzing JavaScript/TypeScript files in: /Users/camchenry/workspace/ast-analysis/sample-repos/ember.js

📁 Found 1077 files to analyze...



============================================================
📊 AST ANALYSIS RESULTS
============================================================

📁 FILE STATISTICS:
   Total files found: 1077
   Successfully parsed: 1077
   Failed to parse: 0
   Total file size: 4.5 MB

🌳 NODE STATISTICS:
   Total nodes: 514,961
   Average nodes per file: 478
   Average file size: 4.3 KB

📋 ALL NODE TYPES (BY FILE PRESENCE):
       • packages/internal-test-helpers/lib/get-all-property-names.ts
       • packages/@ember/routing/location.ts
       • packages/@ember/routing/lib/engines.ts
       • packages/@ember/routing/lib/cache.ts
       • packages/@ember/-internals/utility-types/index.ts
       • packages/@ember/-internals/metal/lib/each_proxy_events.ts

   CallExpression:
     📄 Files WITH CallExpression (showing 10):
       • vite.config.mjs
       • testem.ci-browsers.js
       • testem.browserstack.js
       • rollup.config.mjs
       • eslint.config.mjs
       • babel.test.config.mjs
       • babel.config.mjs
       • types/publish.mjs
       • lib/overrides.js
       • lib/index.js
     📄 Files WITHOUT CallExpression (showing 10):
       • testem.js
       • type-tests/index.d.ts
       • lib/browsers.js
       • generators/license.js
       • tests/public/testem.js
       • tests/docs/expected.js
       • packages/ember-template-compiler/minimal.ts
       • packages/ember/version.ts
       • packages/internal-test-helpers/index.ts
       • smoke-tests/v2-app-template/eslint.config.mjs

   MemberExpression:
     📄 Files WITH MemberExpression (showing 10):
       • vite.config.mjs
       • testem.js
       • testem.ci-browsers.js
       • testem.browserstack.js
       • rollup.config.mjs
       • eslint.config.mjs
       • babel.test.config.mjs
       • babel.config.mjs
       • types/publish.mjs
       • lib/overrides.js
     📄 Files WITHOUT MemberExpression (showing 10):
       • type-tests/index.d.ts
       • generators/license.js
       • type-tests/@ember/service-test.ts
       • tests/public/testem.js
       • packages/ember-testing/index.ts
       • packages/ember-template-compiler/minimal.ts
       • packages/ember-template-compiler/index.ts
       • packages/ember/version.ts
       • packages/internal-test-helpers/index.ts
       • smoke-tests/v2-app-template/vite.config.mjs

   ExpressionStatement:
     📄 Files WITH ExpressionStatement (showing 10):
       • vite.config.mjs
       • testem.js
       • testem.ci-browsers.js
       • testem.browserstack.js
       • rollup.config.mjs
       • types/publish.mjs
       • lib/overrides.js
       • lib/index.js
       • lib/browsers.js
       • config/targets.js
     📄 Files WITHOUT ExpressionStatement (showing 10):
       • eslint.config.mjs
       • babel.test.config.mjs
       • babel.config.mjs
       • type-tests/index.d.ts
       • generators/license.js
       • type-tests/@ember/service-test.ts
       • tests/public/testem.js
       • packages/ember-template-compiler/minimal.ts
       • packages/ember/version.ts
       • packages/internal-test-helpers/index.ts

   ThisExpression:
     📄 Files WITH ThisExpression (showing 10):
       • rollup.config.mjs
       • types/publish.mjs
       • lib/overrides.js
       • lib/index.js
       • bin/run-tests-browser-runner.js
       • bin/publish-to-s3.mjs
       • type-tests/@ember/runloop-tests.ts
       • type-tests/@ember/owner-tests.ts
       • type-tests/@ember/destroyable-test.ts
       • type-tests/ember/utils.ts
     📄 Files WITHOUT ThisExpression (showing 10):
       • vite.config.mjs
       • testem.js
       • testem.ci-browsers.js
       • testem.browserstack.js
       • eslint.config.mjs
       • babel.test.config.mjs
       • babel.config.mjs
       • type-tests/index.d.ts
       • lib/browsers.js
       • generators/license.js

   BlockStatement:
     📄 Files WITH BlockStatement (showing 10):
       • vite.config.mjs
       • rollup.config.mjs
       • types/publish.mjs
       • lib/overrides.js
       • lib/index.js
       • config/s3ProjectConfig.js
       • broccoli/features.js
       • broccoli/canary-features.js
       • broccoli/build-info.js
       • broccoli/build-debug-macro-plugin.js
     📄 Files WITHOUT BlockStatement (showing 10):
       • testem.js
       • testem.ci-browsers.js
       • testem.browserstack.js
       • eslint.config.mjs
       • babel.test.config.mjs
       • babel.config.mjs
       • type-tests/index.d.ts
       • lib/browsers.js
       • generators/license.js
       • config/targets.js

   Property:
     📄 Files WITH Property (showing 10):
       • vite.config.mjs
       • testem.js
       • testem.ci-browsers.js
       • testem.browserstack.js
       • rollup.config.mjs
       • eslint.config.mjs
       • babel.test.config.mjs
       • babel.config.mjs
       • types/publish.mjs
       • lib/overrides.js
     📄 Files WITHOUT Property (showing 10):
       • type-tests/index.d.ts
       • lib/browsers.js
       • generators/license.js
       • broccoli/glimmer-template-compiler.js
       • broccoli/features.js
       • bin/run-browserstack-tests.js
       • bin/next-alpha-version.js
       • bin/feature-flag-yuidoc-filter.js
       • type-tests/@ember/test-tests.ts
       • type-tests/@ember/template-tests.ts

   FunctionExpression:
     📄 Files WITH FunctionExpression (showing 10):
       • vite.config.mjs
       • rollup.config.mjs
       • types/publish.mjs
       • lib/overrides.js
       • lib/index.js
       • broccoli/canary-features.js
       • broccoli/build-debug-macro-plugin.js
       • blueprints/-addon-import.js
       • bin/run-tests.js
       • bin/run-tests-injection.js
     📄 Files WITHOUT FunctionExpression (showing 10):
       • testem.js
       • testem.ci-browsers.js
       • testem.browserstack.js
       • eslint.config.mjs
       • babel.test.config.mjs
       • babel.config.mjs
       • type-tests/index.d.ts
       • lib/browsers.js
       • generators/license.js
       • config/targets.js

   VariableDeclarator:
     📄 Files WITH VariableDeclarator (showing 10):
       • vite.config.mjs
       • testem.ci-browsers.js
       • testem.browserstack.js
       • rollup.config.mjs
       • eslint.config.mjs
       • babel.test.config.mjs
       • types/publish.mjs
       • lib/overrides.js
       • lib/index.js
       • config/targets.js
     📄 Files WITHOUT VariableDeclarator (showing 10):
       • testem.js
       • babel.config.mjs
       • type-tests/index.d.ts
       • lib/browsers.js
       • generators/license.js
