AST Analysis Report for jotai
Generated on: 2025-07-14T02:34:32.776Z
Repository: sample-repos/jotai
================================================================================

🔍 Analyzing JavaScript/TypeScript files in: /Users/camchenry/workspace/ast-analysis/sample-repos/jotai

📁 Found 172 files to analyze...



============================================================
📊 AST ANALYSIS RESULTS
============================================================

📁 FILE STATISTICS:
   Total files found: 172
   Successfully parsed: 172
   Failed to parse: 0
   Total file size: 594.8 KB

🌳 NODE STATISTICS:
   Total nodes: 86,914
   Average nodes per file: 505
   Average file size: 3.5 KB

📋 ALL NODE TYPES (BY FILE PRESENCE):
   Program                           172 files (100.0%) -           172 total ( 0.20%)
   ThrowStatement                            63 ( 0.07%) in     23 files ( 13.4%)
   TSParenthesizedType                       51 ( 0.06%) in     20 files ( 11.6%)
   UpdateExpression                          50 ( 0.06%) in     18 files ( 10.5%)
   TSBooleanKeyword                          44 ( 0.05%) in     19 files ( 11.0%)
   TSNonNullExpression                       43 ( 0.05%) in     17 files (  9.9%)
   TSDeclareFunction                         42 ( 0.05%) in     15 files (  8.7%)
   ExportSpecifier                           41 ( 0.05%) in      5 files (  2.9%)
   TryStatement                              39 ( 0.04%) in     12 files (  7.0%)
   FunctionExpression                        38 ( 0.04%) in     13 files (  7.6%)
   TSIndexedAccessType                       36 ( 0.04%) in     16 files (  9.3%)
   RestElement                               36 ( 0.04%) in     13 files (  7.6%)
   TSNeverKeyword                            33 ( 0.04%) in     18 files ( 10.5%)
   TSNamedTupleMember                        33 ( 0.04%) in      1 files (  0.6%)
   TSAnyKeyword                              32 ( 0.04%) in     18 files ( 10.5%)
   TSMethodSignature                         30 ( 0.03%) in      4 files (  2.3%)
   ThisExpression                            28 ( 0.03%) in      6 files (  3.5%)
   CatchClause                               27 ( 0.03%) in      9 files (  5.2%)
   TSObjectKeyword                           27 ( 0.03%) in      7 files (  4.1%)
   TSNullKeyword                             25 ( 0.03%) in     13 files (  7.6%)
   ExportDefaultDeclaration                  24 ( 0.03%) in     24 files ( 14.0%)
   MetaProperty                              24 ( 0.03%) in     14 files (  8.1%)
   TSIntersectionType                        22 ( 0.03%) in     12 files (  7.0%)
   AssignmentPattern                         20 ( 0.02%) in      8 files (  4.7%)
