AST Analysis Report for vitest
Generated on: 2025-07-14T02:08:28.508Z
Repository: sample-repos/vitest
================================================================================

🔍 Analyzing JavaScript/TypeScript files in: /Users/camchenry/workspace/ast-analysis/sample-repos/vitest

📁 Found 1228 files to analyze...



============================================================
📊 AST ANALYSIS RESULTS
============================================================

📁 FILE STATISTICS:
   Total files found: 1228
   Successfully parsed: 1228
   Failed to parse: 0
   Total file size: 3.1 MB

🌳 NODE STATISTICS:
   Total nodes: 427,805
   Average nodes per file: 348
   Average file size: 2.6 KB

📋 ALL NODE TYPES (BY FILE PRESENCE):
   Program                          1228 files (100.0%) -         1,228 total ( 0.29%)
       • test/core/test/jest-expect.test.ts
       • packages/web-worker/src/worker.ts
       • packages/web-worker/src/shared-worker.ts
       • test/core/src/mocks/example.ts
     📄 Files WITHOUT ClassExpression (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts

   JSXText:
     📄 Files WITH JSXText (showing 5):
       • test/core/test/snapshot-react.test.jsx
       • test/core/test/snapshot-react-18.test.jsx
       • test/browser/src/blog-app/blog.tsx
       • examples/projects/packages/client/test/basic.test.tsx
       • examples/projects/packages/client/components/Link.tsx
     📄 Files WITHOUT JSXText (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts

   TSConstructSignatureDeclaration:
     📄 Files WITH TSConstructSignatureDeclaration (showing 8):
       • test/core/types/vite.d.ts
       • test/core/test/jest-mock.test.ts
       • packages/utils/src/types.ts
       • packages/spy/src/index.ts
       • packages/runner/src/types/runner.ts
       • packages/vitest/src/node/types/browser.ts
       • packages/vitest/src/node/sequencers/types.ts
       • packages/browser/src/client/tester/runner.ts
     📄 Files WITHOUT TSConstructSignatureDeclaration (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts

   TSIndexSignature:
     📄 Files WITH TSIndexSignature (showing 10):
       • test/typescript/test-d/test.test-d.ts
       • test/core/types/vite.d.ts
       • test/core/types/env.d.ts
       • test/coverage-test/test/threshold-100.test.ts
       • packages/utils/src/types.ts
       • packages/runner/src/fixture.ts
       • packages/vitest/src/types/environment.ts
       • packages/vitest/src/node/specifications.ts
       • packages/vitest/src/node/coverage.ts
       • packages/mocker/src/node/resolver.ts
     📄 Files WITHOUT TSIndexSignature (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts

   EmptyStatement:
     📄 Files WITH EmptyStatement (showing 10):
       • test/test-utils/index.ts
       • test/browser/injected.ts
       • test/core/test/vi.spec.ts
       • test/core/test/hoisted-async-simple.test.ts
       • packages/utils/src/source-map.ts
       • test/core/src/mocks/log.ts
       • test/core/src/wasm/wasm-bindgen-no-cyclic/index_bg.js
       • packages/vitest/src/create/browser/creator.ts
       • packages/vitest/src/node/plugins/index.ts
       • packages/browser/src/client/tester/utils.ts
     📄 Files WITHOUT EmptyStatement (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts

   TSTypeAssertion:
     📄 Files WITH TSTypeAssertion (showing 10):
       • test/cli/custom.ts
       • test/core/vitest-environment-custom/index.ts
       • packages/vite-node/src/server.ts
       • packages/ui/node/index.ts
       • packages/vitest/src/node/plugins/workspace.ts
       • packages/vitest/src/node/plugins/index.ts
       • packages/vitest/src/integrations/env/node.ts
       • packages/vitest/src/integrations/env/jsdom.ts
       • packages/vitest/src/integrations/env/happy-dom.ts
       • packages/vitest/src/integrations/env/edge-runtime.ts
     📄 Files WITHOUT TSTypeAssertion (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts

   JSXElement:
     📄 Files WITH JSXElement (showing 5):
       • test/core/test/snapshot-react.test.jsx
       • test/core/test/snapshot-react-18.test.jsx
       • test/browser/src/blog-app/blog.tsx
       • examples/projects/packages/client/test/basic.test.tsx
       • examples/projects/packages/client/components/Link.tsx
     📄 Files WITHOUT JSXElement (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts

   JSXOpeningElement:
     📄 Files WITH JSXOpeningElement (showing 5):
       • test/core/test/snapshot-react.test.jsx
       • test/core/test/snapshot-react-18.test.jsx
       • test/browser/src/blog-app/blog.tsx
       • examples/projects/packages/client/test/basic.test.tsx
       • examples/projects/packages/client/components/Link.tsx
     📄 Files WITHOUT JSXOpeningElement (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts

   JSXClosingElement:
     📄 Files WITH JSXClosingElement (showing 5):
       • test/core/test/snapshot-react.test.jsx
       • test/core/test/snapshot-react-18.test.jsx
       • test/browser/src/blog-app/blog.tsx
       • examples/projects/packages/client/test/basic.test.tsx
       • examples/projects/packages/client/components/Link.tsx
     📄 Files WITHOUT JSXClosingElement (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts

   JSXExpressionContainer:
     📄 Files WITH JSXExpressionContainer (showing 2):
       • test/browser/src/blog-app/blog.tsx
       • examples/projects/packages/client/components/Link.tsx
     📄 Files WITHOUT JSXExpressionContainer (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts

   JSXAttribute:
     📄 Files WITH JSXAttribute (showing 3):
       • test/browser/src/blog-app/blog.tsx
       • examples/projects/packages/client/test/basic.test.tsx
       • examples/projects/packages/client/components/Link.tsx
     📄 Files WITHOUT JSXAttribute (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts

   TSAbstractMethodDefinition:
     📄 Files WITH TSAbstractMethodDefinition (showing 3):
       • test/core/test/jest-mock.test.ts
       • packages/expect/src/jest-asymmetric-matchers.ts
       • packages/browser/src/client/tester/locators/index.ts
     📄 Files WITHOUT TSAbstractMethodDefinition (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts

   TSRestType:
     📄 Files WITH TSRestType (showing 2):
       • packages/expect/src/jest-extend.ts
       • packages/runner/src/types/tasks.ts
     📄 Files WITHOUT TSRestType (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts

   TSConstructorType:
     📄 Files WITH TSConstructorType (showing 3):
       • packages/spy/src/index.ts
       • packages/pretty-format/src/index.ts
       • packages/vitest/src/node/reporters/utils.ts
     📄 Files WITHOUT TSConstructorType (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts

   SequenceExpression:
     📄 Files WITH SequenceExpression (showing 3):
       • packages/utils/src/diff/diffLines.ts
       • test/core/src/wasm/wasm-bindgen-no-cyclic/index_bg.js
       • test/core/src/wasm/wasm-bindgen/index_bg.js
     📄 Files WITHOUT SequenceExpression (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts

   Hashbang:
     📄 Files WITH Hashbang (showing 4):
       • scripts/release.ts
       • scripts/publish-ci.ts
       • packages/vite-node/vite-node.mjs
       • packages/vitest/vitest.mjs
     📄 Files WITHOUT Hashbang (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts
       • test/watch/vitest.config.ts
       • test/workspaces-browser/vitest.config.ts

   Decorator:
     📄 Files WITH Decorator (showing 2):
       • test/core/test/esnext.test.ts
       • examples/lit/src/my-button.ts
     📄 Files WITHOUT Decorator (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts

   ImportAttribute:
     📄 Files WITH ImportAttribute (showing 4):
       • packages/coverage-v8/src/provider.ts
       • packages/coverage-istanbul/src/provider.ts
       • packages/vitest/src/node/core.ts
       • packages/vitest/src/node/cli/cac.ts
     📄 Files WITHOUT ImportAttribute (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts

   TSTemplateLiteralType:
     📄 Files WITH TSTemplateLiteralType (showing 3):
       • packages/vitest/src/utils/debugger.ts
       • packages/vitest/src/node/coverage.ts
       • packages/vitest/src/node/reporters/renderers/utils.ts
     📄 Files WITHOUT TSTemplateLiteralType (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts

   TSOptionalType:
     📄 Files WITH TSOptionalType (showing 2):
       • packages/runner/src/context.ts
       • packages/runner/src/types/tasks.ts
     📄 Files WITHOUT TSOptionalType (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts

   DoWhileStatement:
     📄 Files WITH DoWhileStatement (showing 1):
       • packages/mocker/src/automocker.ts
     📄 Files WITHOUT DoWhileStatement (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts

   TSExportAssignment:
     📄 Files WITH TSExportAssignment (showing 1):
       • packages/vitest/src/integrations/chai/chai-subset.d.ts
     📄 Files WITHOUT TSExportAssignment (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts

   TSAbstractPropertyDefinition:
     📄 Files WITH TSAbstractPropertyDefinition (showing 1):
       • packages/browser/src/client/tester/locators/index.ts
     📄 Files WITHOUT TSAbstractPropertyDefinition (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts

============================================================
✅ Analysis complete!
