AST Analysis Report for rollup
Generated on: 2025-07-14T01:42:30.122Z
Repository: sample-repos/rollup
================================================================================

🔍 Analyzing JavaScript/TypeScript files in: /Users/camchenry/workspace/ast-analysis/sample-repos/rollup

📁 Found 12147 files to analyze...



============================================================
📊 AST ANALYSIS RESULTS
============================================================

📁 FILE STATISTICS:
   Total files found: 12147
   Successfully parsed: 12147
   Failed to parse: 0
   Total file size: 9.2 MB

🌳 NODE STATISTICS:
   Total nodes: 1,241,523
   Average nodes per file: 102
   Average file size: 791.0 B

📋 ALL NODE TYPES (BY FILE PRESENCE):
   Program                        12147 files (100.0%) -   12,147 total (0.98%)
   Literal                        11765 files ( 96.9%) -  103,007 total (8.30%)
   Identifier                     11627 files ( 95.7%) -  419,254 total (33.77%)
   ExpressionStatement            9837 files ( 81.0%) -   73,764 total (5.94%)
   MemberExpression               9589 files ( 78.9%) -  131,719 total (10.61%)
   CallExpression                 9499 files ( 78.2%) -   72,356 total (5.83%)
   BlockStatement                 5843 files ( 48.1%) -   37,730 total (3.04%)
   VariableDeclaration            5774 files ( 47.5%) -   26,736 total (2.15%)
   VariableDeclarator             5774 files ( 47.5%) -   29,024 total (2.34%)
       • scripts/test-package.js
       • scripts/test-options.js
     📄 Files WITHOUT Identifier (showing 10):
       • scripts/generate-ast-converters.js
       • src/utils/fs.ts
       • src/utils/convert-ast-strings.ts
       • test/watch/samples/watch-files/main.js
       • test/watch/samples/skip-writes/main.js
       • test/watch/samples/multiple/main2.js
       • test/watch/samples/multiple/main1.js
       • test/watch/samples/error/main.js
       • test/watch/samples/ignored/foo.js
       • test/watch/samples/ignored/bar.js

   MemberExpression:
     📄 Files WITH MemberExpression (showing 10):
       • rollup.config.ts
       • native.wasm.js
       • native.js
       • eslint.config.mjs
       • scripts/update-snapshots.js
       • scripts/test-package.js
       • scripts/test-options.js
       • scripts/release-helpers.js
       • scripts/publish-wasm-node-package.js
       • scripts/prepublish.js
     📄 Files WITHOUT MemberExpression (showing 10):
       • native.d.ts
       • wasm/bindings_wasm_bg.wasm.d.ts
       • wasm/bindings_wasm.d.ts
       • scripts/release-constants.js
       • scripts/generate-ast-converters.js
       • scripts/declarations.d.ts
       • typings/package.json.ts
       • typings/fsevents.ts
       • typings/declarations.ts
       • src/node-entry.ts

   Literal:
     📄 Files WITH Literal (showing 10):
       • rollup.config.ts
       • native.wasm.js
       • native.js
       • eslint.config.mjs
       • scripts/update-snapshots.js
       • scripts/test-package.js
       • scripts/test-options.js
       • scripts/release-helpers.js
       • scripts/release-constants.js
       • scripts/publish-wasm-node-package.js
     📄 Files WITHOUT Literal (showing 10):
       • native.d.ts
